                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2293,                0.54819,                 1.0854,                0.93389,                0.95897,                0.97855,                 0.6754,                 1.1106,                0.47856,                 1.0869,               0.000911,               0.000911,               0.000911
                     57,                 1.2208,                0.54442,                 1.0808,                0.93584,                0.95612,                0.97878,                0.66833,                  1.117,                0.48081,                 1.0915,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2228,                0.54477,                 1.0819,                0.93521,                0.95611,                0.97899,                0.66565,                 1.1205,                0.48374,                 1.0918,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2197,                0.54685,                 1.0779,                  0.939,                0.95725,                0.97984,                0.67522,                 1.1055,                0.47318,                 1.0863,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2186,                0.54356,                 1.0797,                0.93807,                0.95558,                0.97957,                 0.6772,                 1.1102,                0.47207,                 1.0865,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1952,                0.53507,                 1.0703,                0.93692,                0.95975,                0.97903,                0.68136,                 1.0966,                0.46659,                 1.0772,               0.000812,               0.000812,               0.000812
                     62,                 1.2045,                0.53485,                 1.0741,                0.93966,                0.95951,                0.98064,                0.68062,                 1.0878,                0.46852,                 1.0798,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2006,                0.53842,                  1.078,                0.93611,                0.95673,                 0.9791,                  0.665,                  1.162,                0.48132,                  1.116,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2054,                0.53618,                 1.0692,                0.93953,                0.96121,                0.98168,                0.68271,                 1.0904,                0.45793,                 1.0754,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2018,                0.53534,                 1.0708,                 0.9364,                0.95932,                0.97969,                0.67507,                 1.1046,                0.47276,                 1.0832,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1966,                0.53384,                 1.0753,                0.95039,                0.95332,                0.98274,                0.68739,                 1.0712,                0.45192,                 1.0647,               0.000713,               0.000713,               0.000713
                     67,                  1.204,                 0.5306,                 1.0705,                0.94576,                0.95878,                0.98175,                0.69195,                 1.0776,                0.44887,                  1.066,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1908,                0.52685,                 1.0681,                0.93886,                0.96045,                0.97974,                0.68215,                 1.0907,                0.46038,                 1.0775,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1843,                0.52678,                 1.0636,                0.94273,                0.96135,                0.98146,                 0.6869,                 1.0816,                0.44967,                 1.0672,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1833,                0.52249,                 1.0619,                0.93837,                0.96268,                 0.9808,                0.68712,                 1.0819,                 0.4509,                 1.0704,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1853,                0.52226,                  1.059,                0.93681,                0.96229,                0.98053,                0.68566,                 1.0879,                0.45765,                 1.0697,               0.000614,               0.000614,               0.000614
                     72,                 1.1677,                0.51561,                 1.0619,                0.94316,                0.96092,                0.98188,                0.69348,                 1.0468,                0.44349,                 1.0503,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1712,                 0.5178,                 1.0568,                0.94046,                0.95951,                0.98064,                0.68956,                 1.0648,                0.45082,                 1.0623,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1787,                0.52078,                  1.057,                0.94144,                0.96205,                0.98222,                0.69565,                 1.0412,                0.44365,                 1.0512,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1623,                0.51569,                 1.0539,                0.94229,                0.96016,                0.98097,                0.68949,                 1.0645,                0.44847,                 1.0636,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1682,                0.51154,                 1.0569,                0.94182,                0.96299,                 0.9813,                0.70062,                 1.0339,                 0.4388,                 1.0489,               0.000515,               0.000515,               0.000515
                     77,                 1.1517,                0.50696,                 1.0505,                0.94153,                0.96131,                0.98135,                0.68921,                 1.0665,                0.45031,                 1.0634,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1565,                0.51256,                 1.0516,                0.94071,                0.96436,                0.98232,                 0.7009,                  1.037,                 0.4382,                 1.0486,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1635,                0.51461,                 1.0536,                0.94237,                0.96318,                0.98207,                0.69583,                 1.0566,                0.44136,                 1.0512,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1493,                0.50453,                 1.0448,                0.94402,                0.96483,                0.98322,                0.69789,                 1.0432,                0.43224,                 1.0495,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1444,                 0.5042,                 1.0438,                0.94803,                0.96469,                0.98383,                0.70636,                  1.027,                0.42505,                 1.0424,               0.000416,               0.000416,               0.000416
                     82,                 1.1569,                0.50796,                 1.0477,                0.93992,                0.96349,                0.98174,                0.69864,                 1.0485,                0.43999,                 1.0532,              0.0003962,              0.0003962,              0.0003962
